Document	ARI	Coleman-Liau (grade levels)	Coleman-Liau (pred. Cloze scores)	New Dale-Chall	Flesch-Kincaid	Flesch Reading Ease	FORCAST	Fry	Gunning Fog	New Fog Count	Raygor Estimate	SMOG
/Users/vishala/Documents/Batch US states output FINAL/Input files/PennFAQ.txt	8.9	11.4	43	7-8	10	47	11.2	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	10.2	6.1	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	12
/Users/vishala/Documents/Batch US states output FINAL/Input files/Rhode Island FAQPDFi.txt	8.8	10.3	47	7-8	9.3	56	10.6	11	9.3	6.5	11	11.6
/Users/vishala/Documents/Batch US states output FINAL/Input files/SouthcarolinaFAQ.txt	9.1	9.4	50	7-8	9.2	60	10.2	10	10.4	8.3	10	11.5
/Users/vishala/Documents/Batch US states output FINAL/Input files/South Dakota_FAQ.txt	11.3	13.7	34	11-12	10.8	44	11.3	Text is too difficult to be classified to a specific grade level because it contains too many high syllable words.	13.1	8.2	Text is too difficult to be classified to a specific grade level because it contains too many 6+ character words.	13.1
/Users/vishala/Documents/Batch US states output FINAL/Input files/TennesseeFAQPDFi.txt	11.3	12	40	9-10	10.8	50	11	12	12.3	9.3	13	13.2
/Users/vishala/Documents/Batch US states output FINAL/Input files/TexasFAQ.txt	8.3	9.7	49	7-8	8.1	65	10.3	9	9.4	6.6	8	10.5
/Users/vishala/Documents/Batch US states output FINAL/Input files/UtahFAQ.txt	13.4	13.3	36	11-12	12.8	39	11.4	16	13.8	10.2	13	14.6
/Users/vishala/Documents/Batch US states output FINAL/Input files/VermontFAQ.txt	10.4	11.8	41	9-10	10.1	52	10.9	12	11	7.4	12	12.6
/Users/vishala/Documents/Batch US states output FINAL/Input files/Virginia FAQ for all except heathcarePDF.txt	10.6	11.4	43	9-10	10.6	50	11	12	11.3	8	12	12.9
/Users/vishala/Documents/Batch US states output FINAL/Input files/WashingtonFAQ.txt	8.7	10.7	45	7-8	9.2	54	10.7	11	9.5	6.3	10	11.3
/Users/vishala/Documents/Batch US states output FINAL/Input files/West Virginia.txt	10.5	11.7	42	7-8	10.6	50	11	13	10.4	6.9	12	12.8
/Users/vishala/Documents/Batch US states output FINAL/Input files/WisconsinFAQPDFi.txt	10.8	12.3	39	9-10	10.5	48	11.1	13	11.8	7.9	12	13
/Users/vishala/Documents/Batch US states output FINAL/Input files/WyomingFAQ.txt	9.4	10.4	46	7-8	9.2	59	10.3	10	9.8	7.1	11	11.7
