Test	Grade Level	Reader Age	Scale Value	Predicted Cloze Score
Automated Readability Index	12.3	17-18		
Coleman-Liau	12	17-18		40
Flesch-Kincaid	13.2	18-19		
Flesch Reading Ease			42	
FORCAST	11	16-17		
Fry	16	21-22		
Gunning Fog	14.1	19-20		
New Dale-Chall	11-12	16-18		
New Fog Count (Kincaid)	10.4	15-16		
Raygor Estimate	13	18-19		
SMOG	15.4	20-21		
Average (Mean)	12.9	18.3	N/A	40
