Test	Grade Level	Reader Age	Scale Value	Predicted Cloze Score
Automated Readability Index	12.9	17-18		
Coleman-Liau	13.4	18-19		35
Flesch-Kincaid	12.9	17-18		
Flesch Reading Ease			38	
FORCAST	11.6	16-17		
Fry	17+	22-23		
Gunning Fog	11.6	16-17		
New Dale-Chall	11-12	16-18		
New Fog Count (Kincaid)	8.6	13-14		
Raygor Estimate	17+	22-23		
SMOG	14.3	19-20		
Average (Mean)	13.1	18.2	N/A	35
