Test	Grade Level	Reader Age	Scale Value	Predicted Cloze Score
Automated Readability Index	10.2	15-16		
Coleman-Liau	11.3	16-17		43
Flesch-Kincaid	10.3	15-16		
Flesch Reading Ease			52	
FORCAST	10.7	15-16		
Fry	12	17-18		
Gunning Fog	11.6	16-17		
New Dale-Chall	9-10	14-16		
New Fog Count (Kincaid)	8.5	13-14		
Raygor Estimate	12	17-18		
SMOG	12.8	17-18		
Average (Mean)	10.9	16.1	N/A	43
