Test	Grade Level	Reader Age	Scale Value	Predicted Cloze Score
Automated Readability Index	10.4	15-16		
Coleman-Liau	11.4	16-17		43
Flesch-Kincaid	10.5	15-16		
Flesch Reading Ease			51	
FORCAST	10.7	15-16		
Fry	12	17-18		
Gunning Fog	11.6	16-17		
New Dale-Chall	9-10	14-16		
New Fog Count (Kincaid)	8.5	13-14		
Raygor Estimate	12	17-18		
SMOG	12.9	17-18		
Average (Mean)	11	16.1	N/A	43
